YEAR,ALL,FUNDED,TEXT,FUNDEDPERC
1975,43,0,1975 [43],0
1976,117,39,1976 [117],33.33333333
1977,48,0,1977 [48],0
1978,99,4,1978 [99],4.04040404
1979,116,2,1979 [116],1.724137931
1980,67,0,1980 [67],0
1981,110,19,1981 [110],17.27272727
1982,107,11,1982 [107],10.28037383
1983,79,0,1983 [79],0
1984,143,1,1984 [143],0.699300699
1985,198,9,1985 [198],4.545454545
1986,106,0,1986 [106],0
1987,197,16,1987 [197],8.121827411
1988,199,76,1988 [199],38.19095477
1989,222,83,1989 [222],37.38738739
1990,153,81,1990 [153],52.94117647
1991,219,18,1991 [219],8.219178082
1992,188,16,1992 [188],8.510638298
1993,249,97,1993 [249],38.95582329
1994,201,59,1994 [201],29.35323383
1995,228,41,1995 [228],17.98245614
1996,211,53,1996 [211],25.11848341
1997,299,52,1997 [299],17.39130435
1998,272,75,1998 [272],27.57352941
1999,273,42,1999 [273],15.38461538
2000,332,66,2000 [332],19.87951807
2001,321,74,2001 [321],23.0529595
2002,271,60,2002 [271],22.1402214
2003,336,76,2003 [336],22.61904762
2004,310,50,2004 [310],16.12903226
2005,360,51,2005 [360],14.16666667
2006,352,43,2006 [352],12.21590909
2007,488,41,2007 [488],8.401639344
2008,508,61,2008 [508],12.00787402
2009,492,63,2009 [492],12.80487805
2010,513,122,2010 [513],23.78167641
2011,543,58,2011 [543],10.68139963
2012,592,79,2012 [592],13.34459459
2013,676,33,2013 [676],4.881656805
2014,763,203,2014 [763],26.60550459
2015,631,146,2015 [631],23.13787639
2016,867,162,2016 [867],18.68512111
2017,830,337,2017 [830],40.60240964
2018,934,320,2018 [934],34.26124197
2019,933,466,2019 [933],49.94640943
2020,987,651,2020 [987],65.95744681
2021,1150,708,"2021 [1,150]",61.56521739
2022,1489,958,"2022 [1,489]",64.3384822
2023,1575,1093,"2023 [1,575]",69.3968254